Name,Brand,Chipset,Price,RAM Slots,Max RAM,Max Clock,M.2 Slots,Wifi Support,M.2 Support
Asrock X570 Creator,ASROCK,X570,368.33,4,128,4666,1,TRUE,TRUE
Asrock X570 Extreme4,ASROCK,X570,176.80,4,128,4666,1,FALSE,TRUE
Asrock X570 Extreme4 WiFi ax,ASROCK,X570,184.17,4,128,4666,1,TRUE,TRUE
Asrock X570 Phantom Gaming 4,ASROCK,X570,114.18,4,128,4666,1,FALSE,TRUE
Asrock X570 Phantom Gaming 4 WiFi ax,ASROCK,X570,125.23,4,128,4066,1,TRUE,TRUE
Asrock X570 Phantom Gaming X,ASROCK,X570,257.83,4,128,4066,1,TRUE,TRUE
Asrock X570 Pro4,ASROCK,X570,125.23,4,128,4666,1,FALSE,TRUE
Asrock X570 Steel Legend,ASROCK,X570,147.33,4,128,4066,1,FALSE,TRUE
Asrock X570 Steel Legend WiFi ax,ASROCK,X570,154.70,4,128,4666,1,TRUE,TRUE
Asrock X570 Taichi,ASROCK,X570,221.00,4,128,4666,1,TRUE,TRUE
Asrock X570M Pro4,ASROCK,X570,137.02,4,128,4666,1,FALSE,TRUE
Asrock X570 Phantom Gaming-ITX / TB3,ASROCK,X570,221.00,2,64,4200,1,TRUE,TRUE
Asrock Fatal1ty X470 Gaming K4,ASROCK,X470,125.23,4,64,4533,0,FALSE,FALSE
Asrock X470 Master SLI,ASROCK,X470,110.50,4,64,3466,0,FALSE,FALSE
Asrock X470 Master SLI/ac,ASROCK,X470,117.87,4,64,3466,1,TRUE,TRUE
Asrock X470 Taichi,ASROCK,X470,169.43,4,64,3466,1,TRUE,TRUE
Asrock X470 Taichi Ultimate,ASROCK,X470,221.00,4,64,3466,1,TRUE,TRUE
Asrock Fatal1ty X470 Gaming-ITX/ac,ASROCK,X470,132.60,2,32,3466,1,TRUE,TRUE
Asrock Fatal1ty X370 Gaming K4,ASROCK,X370,117.87,4,64,3466,1,FALSE,TRUE
Asrock Fatal1ty X370 Professional Gaming,ASROCK,X370,191.53,4,64,3200,1,TRUE,TRUE
Asrock X370 Killer SLI,ASROCK,X370,103.13,4,64,3200,1,FALSE,TRUE
Asrock X370 Killer SLI/ac,ASROCK,X370,110.50,4,64,2933,1,TRUE,TRUE
Asrock X370 Taichi,ASROCK,X370,154.70,4,64,3200,1,TRUE,TRUE
Asrock B550 Extreme4,ASROCK,B550,136.28,4,128,3200,1,FALSE,TRUE
Asrock B550 PG Velocita,ASROCK,B550,162.07,4,128,4733,1,FALSE,TRUE
Asrock B550 Phantom Gaming 4,ASROCK,B550,84.72,4,128,4733,1,FALSE,TRUE
Asrock B550 Phantom Gaming 4/ac,ASROCK,B550,92.08,4,128,4533,1,TRUE,TRUE
Asrock B550 Pro4,ASROCK,B550,99.45,4,128,4533,1,FALSE,TRUE
Asrock B550 Steel Legend,ASROCK,B550,132.60,4,128,4533,1,FALSE,TRUE
Asrock B550 Taichi,ASROCK,B550,221.00,4,128,4733,1,TRUE,TRUE
Asrock B550M/ac,ASROCK,B550,84.72,4,128,4733,0,FALSE,FALSE
Asrock B550M Phantom Gaming 4,ASROCK,B550,66.30,4,128,4600,0,FALSE,FALSE
Asrock B550M Steel Legend,ASROCK,B550,114.18,4,128,4533,1,FALSE,TRUE
Asrock B550M-ITX/ac,ASROCK,B550,95.77,2,64,4533,1,TRUE,TRUE
Asrock B550 Phantom Gaming-ITX/ax,ASROCK,B550,162.07,2,64,4600,1,TRUE,TRUE
Asrock B450 Pro4,ASROCK,B450,66.30,4,64,5100,0,FALSE,FALSE
Asrock B450 Steel Legend,ASROCK,B450,81.03,4,64,3200,0,FALSE,FALSE
Asrock Fatal1ty B450 Gaming K4,ASROCK,B450,73.67,4,64,3533,0,FALSE,FALSE
Asrock B450M/ac,ASROCK,B450,62.62,4,64,3200,1,TRUE,TRUE
Asrock B450M-HDV,ASROCK,B450,51.57,2,32,3200,0,FALSE,FALSE
Asrock B450M-HDV R4.0,ASROCK,B450,47.88,2,32,3200,0,FALSE,FALSE
Asrock B450M Pro4,ASROCK,B450,58.93,4,64,3200,0,FALSE,FALSE
Asrock B450M Pro4-F,ASROCK,B450,53.04,4,64,3200,0,FALSE,FALSE
Asrock B450M Steel Legend,ASROCK,B450,66.30,4,64,3200,0,FALSE,FALSE
Asrock Fatal1ty B450 Gaming-ITX/ac,ASROCK,B450,95.77,2,32,3533,1,TRUE,TRUE
