Name,Integrated Graphics,Cores,Clock Speed,Boost Clock,Price
AMD Ryzen 5 5600X,None,6,3.7 GHz,4.6 GHz,239.00
AMD Ryzen 7 5800X,None,8,3.8 GHz,4.7 GHz,315.95
AMD Ryzen 5 5600G,Radeon Vega 7,6,3.9 GHz,4.4 GHz,199.00
AMD Ryzen 5 3600,None,6,3.6 GHz,4.2 GHz,221.04
AMD Ryzen 9 5900X,None,12,3.7 GHz,4.8 GHz,450.00
AMD Ryzen 9 5950X,None,16,3.4 GHz,4.9 GHz,637.20
AMD Ryzen 7 3700X,None,8,3.6 GHz,4.4 GHz,279.49
AMD Ryzen 7 5700G,Radeon Vega 8,8,3.8 GHz,4.6 GHz,274.98
AMD Ryzen 3 3100,None,4,3.6 GHz,3.9 GHz,233.89
AMD Ryzen 7 3800X,None,8,3.9 GHz,4.5 GHz,263.99
AMD Ryzen 9 3900X,None,12,3.8 GHz,4.6 GHz,419.99
AMD Ryzen 5 2600,None,6,3.4 GHz,3.9 GHz,304.00
AMD Ryzen 5 3600X,None,6,3.8 GHz,4.4 GHz,329.01
AMD Ryzen 3 3200G,Radeon Vega 8,4,3.6 GHz,4 GHz,189.99
AMD Ryzen 7 2700X,None,8,3.7 GHz,4.3 GHz,712.39
AMD Ryzen 5 1600 (12nm),None,6,3.2 GHz,3.6 GHz,235.99
AMD Ryzen 5 3400G,Radeon Vega 11,4,3.7 GHz,4.2 GHz,384.00
AMD Ryzen 5 2600X,None,6,3.6 GHz,4.2 GHz,252.00
AMD Ryzen 9 3950X,None,16,3.5 GHz,4.7 GHz,727.25
AMD Ryzen 3 3300X,None,4,3.8 GHz,4.3 GHz,324.00
AMD Ryzen 7 3800XT,None,8,3.9 GHz,4.7 GHz,299.00
AMD Ryzen 5 1600 (14nm),None,6,3.2 GHz,3.6 GHz,299.99
AMD Ryzen 3 2200G,Radeon Vega 8,4,3.5 GHz,3.7 GHz,229.99
AMD Ryzen 9 3900XT,None,12,3.8 GHz,4.7 GHz,750.00
AMD Ryzen 5 1600X,None,6,3.6 GHz,4 GHz,254.35
AMD Ryzen 5 2400G,Radeon Vega 11,4,3.6 GHz,3.9 GHz,499.99
AMD Ryzen 5 3600XT,None,6,3.8 GHz,4.5 GHz,501.77
AMD Ryzen 7 1700,None,8,3 GHz,3.7 GHz,426.54
AMD Ryzen 5 3600,None,6,3.6 GHz,4.2 GHz,188.33
AMD Ryzen 5 1500X,None,4,3.5 GHz,3.7 GHz,273.05
AMD A10-9700,Radeon R7 (on-die),4,3.5 GHz,3.8 GHz,139.99
AMD Ryzen 7 3700X,None,8,3.6 GHz,4.4 GHz,392.00
AMD Ryzen 5 2600,None,6,3.4 GHz,3.9 GHz,322.00
AMD Ryzen 5 3600X,None,6,3.8 GHz,4.4 GHz,279.99
AMD Ryzen 5 3400G,Radeon Vega 11,4,3.7 GHz,4.2 GHz,263.23
AMD Ryzen 5 3500,None,6,3.6 GHz,4.1 GHz,234.53
AMD Ryzen 5 3500X,None,6,3.6 GHz,4.1 GHz,235.43
AMD Ryzen 5 3600,None,6,3.6 GHz,4.2 GHz,286.34
AMD Ryzen 7 3800X,None,8,3.9 GHz,4.5 GHz,497.45
AMD Ryzen 9 3900X,None,12,3.8 GHz,4.6 GHz,546.34
AMD Ryzen 9 3950X,None,16,3.5 GHz,4.7 GHz,678.34
