Name,Chipset,VRAM Type,Memory,Core Clock,Boost Clock,Price
Diamond 5450PE31G,Radeon HD 5450,GDDR3,1,650 MHz,N/A,97.83
VisionTek SFF,Radeon HD 7750,GDDR3,2,800 MHz,N/A,121.94
AMD 100-506001,Radeon Pro WX 2100,HBM2,2,925 MHz,1219,182.39
AMD 100-506115,Radeon Pro WX 3200,GDDR5,4,1250 MHz,1290,193.09
PowerColor ITX,Radeon RX 6500 XT,GDDR6,4,2310 MHz,N/A,199.99
Sapphire PULSE,Radeon RX 6500 XT,GDDR6,4,2310 MHz,2825,199.99
PowerColor Fighter OC,Radeon RX 6500 XT,GDDR6,4,2310 MHz,N/A,208.99
Asus DUAL OC,Radeon RX 6500 XT,GDDR6,4,2310 MHz,2820,220.49
AMD 100-505999,Radeon Pro WX 3100,HBM2,4,925 MHz,1219,224.39
MSI MECH 2X OC,Radeon RX 6500 XT,GDDR6,4,2310 MHz,2825,228.48
XFX Speedster QICK 210,Radeon RX 6500 XT,GDDR6,4,2310 MHz,2825,233.47
Gigabyte EAGLE,Radeon RX 6500 XT,GDDR6,4,2310 MHz,2815,239.99
Gigabyte GAMING OC,Radeon RX 6500 XT,GDDR6,4,2310 MHz,2825,273.48
Asus TUF GAMING OC,Radeon RX 6500 XT,GDDR6,4,2310 MHz,2825,351.48
MSI MECH 2X,Radeon RX 6600,GDDR6,8,1626 MHz,2491,398.47
Sapphire PULSE,Radeon RX 6600,GDDR6,8,1626 MHz,2491,410.75
ASRock Challenger D,Radeon RX 6600,GDDR6,8,1626 MHz,N/A,421.19
MSI RX 550 4GT LP OC,Radeon RX 550 - 512,GDDR5,4,1100 MHz,1203,422.55
Asus DUAL,Radeon RX 6600,GDDR6,8,1626 MHz,2491,429.98
XFX Speedster SWFT 210,Radeon RX 6600,GDDR6,8,1626 MHz,2491,433.48
PowerColor Fighter,Radeon RX 6600,GDDR6,8,1626 MHz,2491,433.48
AMD 100-506095,Radeon Pro W5500,HBM2,8,1354 MHz,1900,436.56
MSI ARMOR V1,Radeon RX 6600,GDDR6,8,1626 MHz,2491,439.00
PowerColor Hellhound,Radeon RX 6600,GDDR6,8,1626 MHz,2491,439.79
Gigabyte EAGLE,Radeon RX 6600,GDDR6,8,1626 MHz,2491,439.98
MSI MECH 2X OC,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2602,475.00
MSI GAMING X,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2607,478.49
MSI MECH 2X OCV1,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2602,479.99
Asus DUAL OC,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2607,483.48
Gigabyte EAGLE,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2589,483.48
XFX Speedster SWFT 210,Radeon RX 6600 XT,GDDR6,8,2092 MHz,2589,488.47
Gigabyte GAMING OC,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2593,493.48
Asus ROG STRIX GAMING OC,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2607,498.48
Sapphire NITRO+,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2607,524.13
Gigabyte GAMING OC PRO,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2607,529.95
ASRock Challenger D OC,Radeon RX 6600 XT,GDDR6,8,1968 MHz,N/A,553.19
MSI R9 Fury X 4G,Radeon R9 Fury X,GDDR5,4,1050 MHz,N/A,589.99
ASRock Challenger Pro OC,Radeon RX 6600 XT,GDDR6,8,1968 MHz,N/A,590.39
Sapphire PULSE,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2593,595.66
Sapphire Tri-X,Radeon R9 290X,GDDR5,4,772 MHz,1040,604.06
ASRock Phantom Gaming D OC,Radeon RX 5500 XT,GDDR5,8,1685 MHz,1845,649.00
XFX Speedster QICK 308 Black,Radeon RX 6600 XT,GDDR6,8,2188 MHz,2607,659.08
MSI ARMOR OC,Radeon RX 580,GDDR5,8,1257 MHz,1366,667.41
XFX GTR XXX,Radeon RX 580,GDDR5,8,1366 MHz,1386,695.22
MSI MECH 2X,Radeon RX 6700 XT,GDDR6,12,2321 MHz,N/A,699.00
Sapphire PULSE,Radeon RX 6700 XT,GDDR6,12,2321 MHz,2581,700.79
XFX GTR XXX,Radeon RX 580,GDDR5,8,1257 MHz,1386,707.41
MSI ARMOR OC,Radeon RX 590,GDDR5,8,1469 MHz,1565,707.41
PowerColor AX R9 FURY X 4GBHBM-DH,Radeon R9 Fury X,GDDR5,4,1050 MHz,N/A,709.60
MSI MECH 2X OC,Radeon RX 6700 XT,GDDR6,12,2321 MHz,N/A,713.47
PowerColor Fighter,Radeon RX 6700 XT,GDDR6,12,2321 MHz,2581,718.49
Asus ROG STRIX,Radeon RX 570,GDDR5,4,1168 MHz,1310,720.83
PowerColor Hellhound,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2593,726.12
XFX Speedster QICK 319 BLACK,Radeon RX 6700 XT,GDDR6,12,2457 MHz,2622,733.48
MSI GAMING X,Radeon RX 6700 XT,GDDR6,12,2321 MHz,N/A,733.48
PowerColor Fighter,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2589,738.14
PowerColor Hellhound,Radeon RX 6700 XT,GDDR6,12,2321 MHz,2581,739.79
Gigabyte GAMING OC,Radeon RX 6700 XT,GDDR6,12,2321 MHz,N/A,743.47
ASRock Challenger D OC,Radeon RX 5500 XT,GDDR5,8,1685 MHz,1845,750.00
Sapphire NITRO+,Radeon RX 6700 XT,GDDR6,12,2321 MHz,2622,753.48
PowerColor Red Devil,Radeon RX 6700 XT,GDDR6,12,2321 MHz,2622,760.79
PowerColor AXR9 NANO 4GBHBM-DH,Radeon R9 Nano,GDDR5,4,1000 MHz,N/A,771.44
Asus TUF GAMING OC,Radeon RX 6700 XT,GDDR6,12,2321 MHz,N/A,773.47
Gigabyte EAGLE,Radeon RX 6700 XT,GDDR6,12,2321 MHz,N/A,790.79
Gigabyte AORUS ELITE,Radeon RX 6700 XT,GDDR6,12,2321 MHz,N/A,793.48
Asus ROG STRIX GAMING OC,Radeon RX 6700 XT,GDDR6,12,2321 MHz,N/A,803.47
ASRock Challenger Pro OC,Radeon RX 6700 XT,GDDR6,12,2375 MHz,2620,818.86
Asus DUAL,Radeon RX 6700 XT,GDDR6,12,2321 MHz,N/A,829.95
AMD RADEON PRO WX 4100,Radeon Pro WX 4100,GDDR5,4,925 MHz,975,879.00
Sapphire PULSE,Radeon RX 6800,GDDR6,16,1700 MHz,N/A,910.79
PowerColor Fighter OC,Radeon RX 6800,GDDR6,16,1700 MHz,2155,910.79
Sapphire NITRO+,Radeon RX 6800,GDDR6,16,1700 MHz,N/A,960.79
Gigabyte GAMING OC,Radeon RX 6800,GDDR6,16,1815 MHz,2155,963.48
PowerColor Red Devil,Radeon RX 6600 XT,GDDR6,8,1968 MHz,2607,991.90
Asus STRIX GAMING OC,Radeon RX 6800,GDDR6,16,1700 MHz,2190,993.48
Asus TUF GAMING OC,Radeon RX 6800,GDDR6,16,1700 MHz,2190,999.99
AMD 100-506085,Radeon Pro W5700,HBM2,8,1243 MHz,1930,"1,040.39"
Sapphire PULSE,Radeon RX 6800 XT,GDDR6,16,1825 MHz,N/A,"1,060.79"
Gigabyte GAMING OC,Radeon RX 6800 XT,GDDR6,16,1825 MHz,2285,"1,091.39"
MSI GAMING X TRIO,Radeon RX 6800 XT,GDDR6,16,1850 MHz,2285,"1,099.99"
Asus TUF-RX6800XT-O16G-GAMING,Radeon RX 6800 XT,GDDR6,16,1825 MHz,2340,"1,099.99"
XFX Speedster MERC 319 CORE,Radeon RX 6800 XT,GDDR6,16,1825 MHz,2250,"1,103.47"
Gigabyte AORUS MASTER,Radeon RX 6800 XT,GDDR6,16,1825 MHz,2310,"1,139.07"
Sapphire 100360SR,Radeon R9 295X2,GDDR5,8,947 MHz,1018,"1,198.00"
XFX Core Edition,Radeon R9 295X2,GDDR5,8,1018 MHz,N/A,"1,198.51"
Sapphire NITRO+ SE,Radeon RX 6800 XT,GDDR6,16,1825 MHz,N/A,"1,210.79"
ASRock Challenger D,Radeon RX 6700 XT,GDDR6,12,2321 MHz,2581,"1,258.99"
ASRock Phantom Gaming D OC,Radeon RX 6800 XT,GDDR6,16,1825 MHz,N/A,"1,265.99"
Sapphire NITRO+ SE,Radeon RX 6900 XT,GDDR6,16,1825 MHz,2365,"1,329.04"
PowerColor Red Dragon OC,Radeon RX 6800 XT,GDDR6,16,1825 MHz,2310,"1,349.99"
ASRock Phantom Gaming D OC,Radeon RX 6900 XT,GDDR6,16,1925 MHz,2340,"1,405.00"
Asus TUF GAMING OC,Radeon RX 6900 XT,GDDR6,16,1825 MHz,2340,"1,454.35"
Sapphire PULSE,Radeon RX 570,GDDR5,4,1168 MHz,1284,"1,481.70"
MSI GAMING X TRIO,Radeon RX 6900 XT,GDDR6,16,1825 MHz,2340,"1,497.59"
PowerColor Red Devil Ultimate,Radeon RX 6900 XT,GDDR6,16,1825 MHz,2425,"1,499.99"
Gigabyte AORUS MASTER,Radeon RX 6900 XT,GDDR6,16,2015 MHz,2365,"1,510.79"
ASRock Phantom Gaming D OC,Radeon RX 6700 XT,GDDR6,12,2457 MHz,2622,"1,540.38"
ASRock OC Formula,Radeon RX 6900 XT,GDDR6,16,2125 MHz,2475,"1,581.30"
Sapphire Toxic,Radeon RX 6900 XT,GDDR6,16,1825 MHz,2500,"1,704.80"
Sapphire Toxic Extreme Edition,Radeon RX 6900 XT,GDDR6,16,1825 MHz,2525,"1,810.11"
AMD 100-506163,Radeon Pro VII,HBM2,16,1400 MHz,1700,"2,045.34"
AMD 100-505957,Radeon Pro WX 9100,GDDR5,16,1200 MHz,1500,"2,049.59"
