Name,Integrated Graphics,Cores,Clock Speed,Turbo Boost,Price
Intel Core i7-9700K,Intel UHD Graphics 630,8,3.6 GHz,4.9 GHz,345.45
Intel Core i5-9600K,Intel UHD Graphics 630,6,3.7 GHz,4.6 GHz,174.99
Intel Core i9-9900K,Intel UHD Graphics 630,8,3.6 GHz,5 GHz,560.45
Intel Core i5-9400F,None,6,2.9 GHz,4.1 GHz,133.08
Intel Core i7-8700K,Intel UHD Graphics 630,6,3.7 GHz,4.7 GHz,295.00
Intel Core i7-7700K,Intel HD Graphics 630,4,4.2 GHz,4.5 GHz,235.35
Intel Core i7-6700K,Intel HD Graphics 530,4,4 GHz,4.2 GHz,406.41
Intel Core i7-9700KF,None,8,3.6 GHz,4.9 GHz,352.35
Intel Core i5-6600K,Intel HD Graphics 530,4,3.5 GHz,3.9 GHz,165.00
Intel Core i5-8400,Intel UHD Graphics 630,6,2.8 GHz,4 GHz,195.00
Intel Core i5-9600KF,None,6,3.7 GHz,4.6 GHz,176.34
Intel Core i7-8700,Intel UHD Graphics 630,6,3.2 GHz,4.6 GHz,267.00
Intel Core i3-9100F,None,4,3.6 GHz,4.2 GHz,129.31
Intel Core i9-9900KF,None,8,3.6 GHz,5 GHz,425.00
Intel Core i3-9100,Intel UHD Graphics 630,4,3.6 GHz,4.2 GHz,121.97
Intel Core i5-9400,Intel UHD Graphics 630,6,2.9 GHz,4.1 GHz,144.59
Intel Core i5-8600K,Intel UHD Graphics 630,6,3.6 GHz,4.3 GHz,295.00
Intel Core i5-6500,Intel HD Graphics 530,4,3.2 GHz,3.6 GHz,190.00
Intel Core i7-6700,Intel HD Graphics 530,4,3.4 GHz,4 GHz,250.00
Intel Core i7-9700,Intel HD Graphics 630,8,3 GHz,4.7 GHz,279.97
Intel Core i7-7700,Intel HD Graphics 630,4,3.6 GHz,4.2 GHz,285.00
Intel Core i7-9700F,None,8,3 GHz,4.7 GHz,239.46
Intel Core i5-7600K,Intel HD Graphics 630,4,3.8 GHz,4.2 GHz,245.00
Intel Core i5-7400,Intel HD Graphics 630,4,3 GHz,3.5 GHz,190.00
Intel Pentium Gold G5400,Intel UHD Graphics 610,2,3.7 GHz,,100.81
Intel Core i5-7500,Intel HD Graphics 630,4,3.4 GHz,3.8 GHz,199.00
Intel Core i5-6400,Intel HD Graphics 530,4,2.7 GHz,3.3 GHz,234.12
Intel Core i9-9900K (Standard Folding Box),Intel UHD Graphics 630,8,3.6 GHz,5 GHz,969.99
Intel Core i3-8100,Intel UHD Graphics 630,4,3.6 GHz,,165.00
Intel Core i3-6100,Intel HD Graphics 530,2,3.7 GHz,,175.00
Intel Core i5-9600KF,None,6,3.7 GHz,4.6 GHz,189.33
Intel Core i9-9900,Intel UHD Graphics 630,8,3.1 GHz,5 GHz,350.99
Intel Core i5-9500,Intel UHD Graphics 630,6,3 GHz,4.4 GHz,264.18
Intel Core i5-6500,Intel HD Graphics 530,4,3.2 GHz,3.6 GHz,189.99
Intel Core i7-8700,Intel UHD Graphics 630,6,3.2 GHz,4.6 GHz,375.59
Intel Core i7-7700,Intel HD Graphics 630,4,3.6 GHz,4.2 GHz,381.89
Intel Core i5-9500F,None,6,3 GHz,4.4 GHz,173.99
Intel Core i5-7400,Intel HD Graphics 630,4,3 GHz,3.5 GHz,247.94
Intel Core i5-8600,Intel UHD Graphics 630,6,3.1 GHz,4.3 GHz,350.00
Intel Celeron G3900,Intel HD Graphics 510,2,2.8 GHz,,211.20
Intel Pentium Gold G5420,Intel UHD Graphics 610,2,3.8 GHz,,88.35
Intel Core i3-8100,Intel UHD Graphics 630,4,3.6 GHz,,215.00
Intel Core i7-6700,Intel HD Graphics 530,4,3.4 GHz,4 GHz,418.04
Intel Core i5-9400F,None,6,2.9 GHz,4.1 GHz,246.00
Intel Xeon E-2124,None,4,3.3 GHz,4.3 GHz,610.00
Intel Core i7-9700,Intel HD Graphics 630,8,3 GHz,4.7 GHz,355.00
Intel Core i7-8700T,Intel UHD Graphics 630,6,2.4 GHz,4 GHz,296.89
Intel Core i7-9700F,None,8,3 GHz,4.7 GHz,267.89
Intel Xeon E-2124,None,4,3.3 GHz,4.3 GHz,196.79
Intel Xeon E-2146G,Intel HD Graphics P630,6,3.5 GHz,4.5 GHz,307.47
Intel Core i5-6400,Intel HD Graphics 530,4,2.7 GHz,3.3 GHz,373.55
Intel Xeon E-2288G,Intel HD Graphics P630,8,3.7 GHz,5 GHz,895.29
Intel Celeron G4900,Intel UHD Graphics 610,2,3.1 GHz,,175.00
Intel Xeon E-2136,None,6,3.3 GHz,4.5 GHz,309.59
