Name,Chipset,VRAM Type,Memory,Core Clock,Boost Clock,Price
MSI GT 1030 2GHD4 LP OC,GeForce GT 1030 DDR4,DDR4,2,1189,1430,89.99
Gigabyte GV-N1030D4-2GL,GeForce GT 1030 DDR4,DDR4,2,1151,1417,93.48
MSI AERO ITX 2GD4 OC,GeForce GT 1030 DDR4,DDR4,2,1189,1430,95.98
MSI GTX 1050 TI 4GT LP,GeForce GTX 1050 Ti,GDDR5,4,1290,1392,172.48
Gigabyte GV-N105TD5-4GD,GeForce GTX 1050 Ti,GDDR5,4,1290,1430,188.47
Palit StormX,GeForce GTX 1050 Ti,GDDR5,4,1290,1392,189.89
Asus CERBERUS,GeForce GTX 1050 Ti,GDDR5,4,1341,1480,200.39
MSI GT LP OC,GeForce GTX 1650 G5,GDDR5,4,1485,1695,205.98
Asus DUAL OC,GeForce GTX 1650 G5,GDDR5,4,1485,1755,220.79
MSI D6 VENTUS XS OC,GeForce GTX 1650 G6,GDDR5,4,1410,1620,224.99
MSI AERO ITX,GeForce GTX 1050 Ti,GDDR5,4,1341,1455,229.00
Asus Phoenix,GeForce GTX 1050 Ti,GDDR5,4,1290,1392,229.95
Asus TUF GAMING OC,GeForce GTX 1650 G6,GDDR5,4,1410,1680,229.99
Gigabyte WINDFORCE OC,GeForce GTX 1650 G6,GDDR5,4,1410,1650,238.48
MSI VENTUS XS OC,GeForce GTX 1650 G5,GDDR5,4,1485,1740,239.00
MSI GAMING X,GeForce GTX 1050 Ti,GDDR5,4,1290,1493,272.39
Gigabyte OC Low Profile,GeForce GTX 1650 G5,GDDR5,4,1485,1695,300.00
Inno3D Twin X2,GeForce GTX 1050 Ti,GDDR5,4,1290,1392,303.56
Asus Phoenix OC,GeForce GTX 1650 G5,GDDR5,4,1485,1710,323.39
MSI VENTUS XS OC,GeForce GTX 1660,GDDR5,6,1530,1830,323.47
EVGA SC ULTRA GAMING,GeForce GTX 1650 G6,GDDR5,4,1410,1710,324.00
Palit StormX,GeForce RTX 3050 8GB,GDDR6,8,1550,1777,329.99
Palit StormX,GeForce GTX 1660 SUPER,GDDR5,6,1530,1785,339.99
Palit StormX,GeForce GTX 1660,GDDR5,6,1530,1785,340.79
Gigabyte OC,GeForce GTX 1660,GDDR5,6,1530,1785,343.48
EVGA SC ULTRA GAMING,GeForce GTX 1660,GDDR5,6,1530,1830,349.00
Asus TUF GAMING OC,GeForce GTX 1660 SUPER,GDDR5,6,1530,1845,351.98
MSI VENTUS XS OC,GeForce GTX 1660 SUPER,GDDR5,6,1530,1815,353.47
EVGA XC GAMING,GeForce RTX 3050 8GB,GDDR6,8,1550,1845,361.19
Gigabyte WINDFORCE OC,GeForce GTX 1650 G5,GDDR5,4,1485,1710,361.96
MSI GAMING X,GeForce GTX 1660 SUPER,GDDR5,6,1530,1830,365.47
Zotac GAMING Twin Fan,GeForce GTX 1660 SUPER,GDDR5,6,1530,1785,368.47
Asus DUAL EVO OC,GeForce GTX 1660 SUPER,GDDR5,6,1530,1860,369.00
Gigabyte OC Low Profile,GeForce GTX 1050 Ti,GDDR5,4,1328,1442,379.00
Gigabyte GV-N105TOC-4GD,GeForce GTX 1050 Ti,GDDR5,4,1341,1455,379.99
Gigabyte OC,GeForce GTX 1660 Ti,GDDR5,6,1500,1800,392.99
MSI GAMING X,GeForce RTX 3050 8GB,GDDR6,8,1550,N/A,395.00
Gigabyte OC,GeForce GTX 1660 SUPER,GDDR5,6,1530,1830,399.95
Gigabyte GAMING OC,GeForce RTX 3050 8GB,GDDR6,8,1550,N/A,399.99
Zotac GAMING Twin Edge OC,GeForce RTX 3050 8GB,GDDR6,8,1550,1807,405.50
Asus Phoenix OC,GeForce GTX 1660 SUPER,GDDR5,6,1530,1830,410.75
Gigabyte D6 Rev 2.0,GeForce RTX 2060,GDDR6,6,1365,1680,420.00
Asus DUAL EVO OC,GeForce RTX 2060,GDDR6,6,1365,1785,425.47
Palit StormX,GeForce GTX 1660 Ti,GDDR5,6,1500,1770,429.99
Gigabyte EAGLE OC,GeForce RTX 3050 8GB,GDDR6,8,1550,1792,448.90
Gigabyte D6 OC Rev 2.0,GeForce GTX 1650 G6,GDDR5,4,1410,1635,459.00
EVGA XC BLACK GAMING,GeForce RTX 3060,GDDR6,12,1320,1777,461.98
Asus CERBERUS,GeForce GTX 1050 Ti,GDDR5,4,1328,1442,473.00
Asus ROG STRIX GAMING OC,GeForce RTX 3050 8GB,GDDR6,8,1550,1890,483.48
Zotac GAMING Twin Fan,GeForce GTX 1660,GDDR5,6,1530,1785,485.53
EVGA SC GAMING,GeForce RTX 2060,GDDR6,6,1365,1710,489.99
KFA2 26NRL7HPX7OK,GeForce RTX 2060,GDDR6,6,1365,1710,499.00
Palit StormX,GeForce RTX 3060,GDDR6,12,1320,N/A,509.97
Zotac GAMING Twin Edge OC,GeForce RTX 3060,GDDR6,12,1320,1807,510.79
EVGA KO ULTRA GAMING,GeForce RTX 2060,GDDR6,6,1365,1755,513.75
MSI GAMING X,GeForce RTX 3060,GDDR6,12,1320,1837,529.98
MSI VENTUS 2X,GeForce RTX 3060,GDDR6,12,1320,1777,529.99
KFA2 (1-Click OC),GeForce RTX 3060,GDDR6,12,1320,1792,529.99
Gigabyte GV-N3060EAGLE OC12GD,GeForce RTX 3060,GDDR6,12,1320,1807,547.99
Zotac GAMING AMP,GeForce GTX 1660 SUPER,GDDR5,6,1530,1845,549.99
Asus DUAL MINI OC,GeForce GTX 1660 SUPER,GDDR5,6,1530,1860,550.00
Asus Phoenix OC,GeForce GTX 1650 G6,GDDR5,4,1410,1665,551.00
EVGA SC ULTRA GAMING,GeForce GTX 1660 SUPER,GDDR5,6,1530,1830,593.54
Zotac GAMING AMP,GeForce RTX 3060,GDDR6,12,1320,1867,602.47
Gigabyte GV-N3060EAGLE-12GD,GeForce RTX 3060,GDDR6,12,1320,1777,610.79
Asus DUAL OC,GeForce RTX 3060,GDDR6,12,1320,N/A,619.99
PNY XLR8 Gaming Overclocked Edition,GeForce GTX 1660,GDDR5,6,1530,1830,629.67
Asus DUAL MINI OC V2,GeForce RTX 3060 Ti LHR,GDDR6,8,1410,1710,643.98
Gigabyte GAMING OC,GeForce GTX 1660 SUPER,GDDR5,6,1530,1860,648.94
EVGA XC GAMING,GeForce RTX 3060,GDDR6,12,1320,1882,649.00
MSI VENTUS 3X OC,GeForce RTX 3060,GDDR6,12,1320,1807,649.00
MSI VENTUS 3X OC,GeForce RTX 3060 Ti LHR,GDDR6,8,1410,1695,679.00
Asus DUAL OC V2,GeForce RTX 3060 Ti LHR,GDDR6,8,1410,1740,681.98
Zotac GAMING Twin Edge OC,GeForce RTX 3060 Ti LHR,GDDR6,8,1410,1695,689.00
MSI VENTUS 2X OCV1,GeForce RTX 3060 Ti LHR,GDDR6,8,1410,1695,699.00
MSI GAMING X,GeForce RTX 3060 Ti LHR,GDDR6,8,1410,1770,699.00
Inno3D Twin X2,GeForce GTX 1660 Ti,GDDR5,6,1500,1770,706.00
PNY XLR8 Gaming REVEL EPIC-X RGB,GeForce RTX 3060,GDDR6,12,1320,N/A,733.68
MSI GAMING Z TRIO,GeForce RTX 3060 Ti LHR,GDDR6,8,1410,1845,743.47
Gigabyte GAMING OC Rev 2.0,GeForce RTX 3070 LHR,GDDR6,8,1500,1815,749.99
Zotac GAMING AMP,GeForce RTX 3060 Ti LHR,GDDR6,8,1410,1755,760.79
MSI GAMING X,GeForce RTX 3060 Ti,GDDR6,8,1410,1770,761.39
Gainward Ghost,GeForce GTX 1660 SUPER,GDDR5,6,1530,1785,762.00
Palit GamingPro,GeForce RTX 3070 LHR,GDDR6,8,1500,1725,769.99
Asus Phoenix OC,GeForce GTX 1660,GDDR5,6,1530,1830,774.31
EVGA XC GAMING,GeForce RTX 2060,GDDR6,6,1365,1755,779.00
MSI VENTUS 3X OC,GeForce RTX 3070 Ti,GDDR6X,8,1575,1800,779.00
Gigabyte OC,GeForce RTX 2060,GDDR6,6,1365,1755,780.03
Palit GamingPro,GeForce RTX 3070 Ti,GDDR6X,8,1575,1770,791.94
Gigabyte GV-N3060VISIONOC12GD,GeForce RTX 3060,GDDR6,12,1320,1837,792.99
KFA2 (1-Click OC),GeForce RTX 3070 LHR,GDDR6,8,1500,1740,799.00
Asus DUAL,GeForce RTX 3070,GDDR6,8,1500,1755,799.98
Gigabyte GV-N3060GAMINGOC12GD,GeForce RTX 3060,GDDR6,12,1320,1837,799.99
Inno3D iChill X3,GeForce RTX 3070 LHR,GDDR6,8,1500,1785,799.99
Gigabyte GAMING OC,GeForce RTX 3070 Ti,GDDR6X,8,1575,1830,799.99
KFA2 (1-Click OC),GeForce RTX 3070 Ti,GDDR6X,8,1575,1785,799.99
Palit GameRock,GeForce RTX 3070 LHR,GDDR6,8,1500,N/A,803.47
EVGA SC Ultra Black,GeForce GTX 1660 SUPER,GDDR5,6,1530,1785,806.95
MSI VENTUS 2X OC,GeForce RTX 3070,GDDR6,8,1500,1755,810.79
Palit GameRock,GeForce RTX 3070 Ti,GDDR6X,8,1575,1770,813.48
Inno3D iChill X4,GeForce RTX 3070 LHR,GDDR6,8,1500,1785,828.00
Asus Noctua OC,GeForce RTX 3070 LHR,GDDR6,8,1500,1845,841.98
Asus TUF GAMING OC V2,GeForce RTX 3070 LHR,GDDR6,8,1500,1845,841.98
EVGA XC3 ULTRA GAMING iCX3,GeForce RTX 3070 LHR,GDDR6,8,1500,1770,849.95
Zotac GAMING AMP Holo,GeForce RTX 3070 LHR,GDDR6,8,1500,1785,849.99
Zotac GAMING AMP Holo,GeForce RTX 3070 Ti,GDDR6X,8,1575,1830,851.49
Asus ROG STRIX GAMING OC V2,GeForce RTX 3070 LHR,GDDR6,8,1500,1935,851.94
Inno3D iChill X3,GeForce RTX 3070,GDDR6,8,1500,1785,862.99
Gigabyte Vision OC,GeForce RTX 3070 Ti,GDDR6X,8,1575,1830,864.00
MSI GAMING Z TRIO,GeForce RTX 3070 LHR,GDDR6,8,1500,1845,871.98
PNY UPRISING,GeForce RTX 3060,GDDR6,12,1320,N/A,881.35
MSI GAMING X TRIO,GeForce RTX 3070 Ti,GDDR6X,8,1575,1830,889.00
Palit JetStream,GeForce RTX 3070 LHR,GDDR6,8,1500,1725,899.99
Asus TUF GAMING OC,GeForce RTX 3070 Ti,GDDR6X,8,1575,1815,899.99
Inno3D iChill X4,GeForce RTX 3070 Ti,GDDR6X,8,1575,1830,910.79
MSI GAMING X TRIO,GeForce RTX 3060,GDDR6,12,1320,1852,915.42
Gigabyte AORUS MASTER,GeForce RTX 3070 Ti,GDDR6X,8,1575,1875,939.99
Gigabyte GAMING OC,GeForce RTX 3060 Ti,GDDR6,8,1410,1740,942.70
Asus ROG STRIX GAMING,GeForce RTX 3070 Ti,GDDR6X,8,1575,N/A,946.49
Asus DUAL OC V2,GeForce RTX 3070 LHR,GDDR6,8,1500,1800,949.00
MSI SUPRIM X,GeForce RTX 3070 LHR,GDDR6,8,1500,1920,949.99
MSI SUPRIM X,GeForce RTX 3070 Ti,GDDR6X,8,1575,1875,949.99
Asus TUF GAMING,GeForce RTX 3070 Ti,GDDR6X,8,1575,1800,949.99
Asus TUF GAMING OC V2,GeForce RTX 3060 Ti LHR,GDDR6,8,1410,1785,956.90
Palit GamingPro,GeForce GTX 1660 SUPER,GDDR5,6,1530,1785,959.08
Asus ROG STRIX GAMING OC,GeForce RTX 3070 Ti,GDDR6X,8,1575,N/A,971.49
PNY XLR8 Gaming REVEL EPIC-X RGB,GeForce RTX 3070 Ti,GDDR6X,8,1575,1770,974.00
Zotac GAMING,GeForce RTX 2060,GDDR6,6,1365,1680,999.00
Zotac GAMING Twin Edge OC White Edition,GeForce RTX 3070 LHR,GDDR6,8,1500,1755,999.00
Inno3D X3 OC,GeForce RTX 3070 Ti,GDDR6X,8,1575,1785,999.00
Gigabyte MINI ITX OC,GeForce GTX 1060 3GB,GDDR5,3,1556,N/A,"1,004.14"
MSI GAMING TRIO PLUS,GeForce RTX 3070 LHR,GDDR6,8,1500,1770,"1,099.00"
MSI AERO,GeForce GTX 1080,GDDR5,8,1632,1771,"1,107.41"
Zotac GAMING Twin Edge OC,GeForce RTX 3070 LHR,GDDR6,8,1500,1755,"1,149.00"
Palit GameRock,GeForce RTX 3080 10GB,GDDR6X,10,1440,1755,"1,149.99"
Palit NE5XTIX015KB,GeForce GTX Titan X,GDDR5,12,1000,1075,"1,158.30"
Gigabyte EAGLE,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1710,"1,195.99"
Palit GamingPro,GeForce RTX 3080 10GB,GDDR6X,10,1440,1710,"1,199.00"
Gigabyte EAGLE OC,GeForce RTX 3070 Ti,GDDR6X,8,1575,1800,"1,206.90"
MSI SUPRIM X,GeForce RTX 3080 10GB,GDDR6X,10,1440,1920,"1,233.48"
MSI SUPRIM X,GeForce RTX 3080 10GB LHR,GDDR6X,10,1440,1920,"1,233.48"
MSI VENTUS 3X PLUS OC,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1740,"1,248.68"
Palit GamingPro,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1710,"1,284.96"
Palit GameRock,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1710,"1,284.96"
MSI GAMING Z TRIO,GeForce RTX 3080 10GB LHR,GDDR6X,10,1440,1830,"1,299.00"
Zotac ArcticStorm,GeForce GTX Titan X,GDDR5,12,1026,1114,"1,299.89"
Gigabyte GAMING OC,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1755,"1,299.99"
MSI GAMING Z TRIO,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1815,"1,299.99"
Zotac GAMING Trinity,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1710,"1,329.00"
Zotac GAMING Trinity OC,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1725,"1,329.99"
Zotac GAMING AMP Holo,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1755,"1,353.48"
Gigabyte MINI ITX OC,GeForce GTX 1070,GDDR5,8,1531,1746,"1,356.22"
MSI SUPRIM X,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1905,"1,361.49"
Asus GTXTITANX-12GD5,GeForce GTX Titan X,GDDR5,12,1075,1000,"1,368.39"
Asus 90YV0810-U0NA00,GeForce GTX Titan X,GDDR5,12,1000,1075,"1,368.39"
Zotac GAMING AMP Extreme Holo,GeForce RTX 3080 12GB LHR,GDDR6X,12,1260,1785,"1,373.47"
MSI SEA HAWK X,GeForce RTX 3080 10GB LHR,GDDR6X,10,1440,1785,"1,395.00"
Palit GamingPro OC,GeForce RTX 3070 LHR,GDDR6,8,1500,1770,"1,398.93"
EVGA XC3 ULTRA GAMING,GeForce RTX 3080 10GB LHR,GDDR6X,10,1440,1755,"1,399.99"
Gigabyte GAMING OC,GeForce RTX 3080 Ti,GDDR6X,12,1365,1770,"1,399.99"
Palit GamingPro,GeForce RTX 3080 Ti,GDDR6X,12,1365,1665,"1,399.99"
Gigabyte AORUS XTREME,GeForce GTX 1080 Ti,GDDR5,11,1607,1746,"1,407.41"
EVGA 12G-P4-2990-KR,GeForce GTX Titan X,GDDR5,12,1000,1075,"1,407.41"
Gigabyte AORUS MASTER,GeForce RTX 3080 10GB,GDDR6X,10,1440,N/A,"1,411.39"
Inno3D iChill X4,GeForce RTX 3080 10GB,GDDR6X,10,1440,1770,"1,411.39"
Zotac GAMING Trinity OC,GeForce RTX 3080 Ti,GDDR6X,12,1365,1695,"1,493.47"
